Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
"Individual Differences and the Field of Auditory Display: Past Research, A Present Study, and an Agenda for the Future","Mauney, Lisa M.; Walker, Bruce N.",2007,Georgia tech,ICAD,design,,,review,,
Music and speech in auditory interfaces: When is one mode more appropriate than another?,"Alty, James L.; Rigas, Dimitrios; Vickers, Paul",2005,Georgia tech,ICAD,design,,,review,,
"Pitch change, sonification, and musical expertise: Which way is up?","Neuhoff, J. G.; Knight, R.; Wayand, J.",2002,Georgia tech,ICAD,design,theoretical-experiential,zero-by practice-both,,x,
Musart: Musical audio transfer function real-time toolkit,"Joseph, A. J.; Lodha, S. K.",2002,Georgia tech,ICAD,design-vision,theoretical,one(par),,,
Expressive Musical Warning Signs,"Fagerlon, Johan",2007,Georgia tech,ICAD,design,experiential,by practice-comp,,x,
Auditory graphs of real-time data,"Childs, Edward",2005,Georgia tech,ICAD,design,theoretical,zero-one(ver),,,
"Examining the learnability of auditory displays: Music, earcons, spearcons, and lyricons","Tislar, Kay; Duford, Zackery; Nelson, Brittany; Peabody, Madeline; Jeon, Myounghoon",2018,Georgia tech,ICAD,design,non-specified,,,x,
Sonification of Emotions II: Live music in a pediatric hospital,"Preti, Constanza; Schubert, Emery",2011,Georgia tech,ICAD,emotion-medicine,experiential,by practice-perform,,x,
MUSE: A musical data sonification toolkit,"Lodha, Suresh K.; Beahan, John; Heppe, Travis; Joseph, Abigail; Zane-Ulman, Brett",1997,Georgia tech,ICAD,design,theoretical,one(par)-two,,,
CAITLIN: A musical problem auralisation tool to assist novice programmers with debugging,"Vickers, Paul; Alty, James L.",1996,Georgia tech,ICAD,vision,theoretical,zero-one(par),,x,
Non-Speech Audio-Semiotics: A Review and Revision of Auditory Icon and Earcon Theory,"Oswald, David",2012,Georgia tech,ICAD,design,,,review,,
Sonification of Emotion I: Film Music,"Schubert, Emery; Ferguson, Sam; Farrar, Natasha; McPherson, Gary E.",2011,Georgia tech,ICAD,emotion,non-specified,,,x,
Converting images to music using their colour properties,"Margounakis, D.; Politis, D.",2006,Georgia tech,ICAD,design-vision,theoretical,zero-one(par),,,
Ambience for Auditory Displays: Embedded Musical Instruments As Peripheral Audio Cues,"Jung, Ralf",2008,Georgia tech,ICAD,design,experiential,by practice-comp,,x,
Exploring 3D audio for brain sonification,"Schmele, Timothy; Gomez, Imanol",2012,Georgia tech,ICAD,nature-space,experiential,both-comp,,,
